video_name,start_frame,end_frame,lmin,lmax,gt,n_Tpos,trk_rate
window_3_sony_0400-0405UTC.mp4,773,802,43,49,1,1,0.5
window_3_sony_0400-0405UTC.mp4,1213,1262,62,75,1,1,1.0
window_3_sony_0400-0405UTC.mp4,1414,1451,53,61,1,1,0.79
window_3_sony_0400-0405UTC.mp4,2276,2335,36,41,1,1,0.92
window_3_sony_0400-0405UTC.mp4,2823,2862,40,62,1,1,0.88
window_3_sony_0400-0405UTC.mp4,2850,2900,78,79,1,1,0.96
window_3_sony_0400-0405UTC.mp4,2916,2945,55,74,1,1,0.67
window_3_sony_0400-0405UTC.mp4,3414,3446,41,47,1,1,1.0
window_3_sony_0400-0405UTC.mp4,3845,3874,36,40,1,1,0.67
window_3_sony_0400-0405UTC.mp4,4143,4191,58,61,1,1,0.88
window_3_sony_0400-0405UTC.mp4,4250,4280,40,52,1,1,0.57
window_3_sony_0400-0405UTC.mp4,4435,4472,60,67,1,1,0.71
window_3_sony_0400-0405UTC.mp4,5311,5342,54,73,1,1,0.75
window_3_sony_0400-0405UTC.mp4,6778,6823,57,59,1,1,1.0
window_3_sony_0400-0405UTC.mp4,7187,7219,49,63,1,1,1.0
window_3_sony_0405-0410UTC.mp4,261,290,44,70,1,1,0.5
window_3_sony_0405-0410UTC.mp4,306,349,52,62,1,1,0.95
window_3_sony_0405-0410UTC.mp4,1454,1489,44,64,1,1,0.92
window_3_sony_0405-0410UTC.mp4,2405,2441,43,49,1,1,1.0
window_3_sony_0405-0410UTC.mp4,3046,3076,43,48,1,1,0.71
window_3_sony_0405-0410UTC.mp4,3780,3814,46,56,1,1,1.0
window_3_sony_0405-0410UTC.mp4,4601,4645,41,47,2,2,0.86
window_3_sony_0405-0410UTC.mp4,5568,5600,40,44,1,1,1.0
window_3_sony_0405-0410UTC.mp4,6842,6874,49,54,1,1,1.0
window_3_sony_0405-0410UTC.mp4,6906,6948,43,52,1,1,1.0
window_3_sony_0405-0410UTC.mp4,7069,7120,54,61,1,1,1.0
window_3_sony_0405-0410UTC.mp4,7475,7500,50,56,2,2,1.0
window_3_sony_0410-0415UTC.mp4,0,18,40,80,1,0,0.0
window_3_sony_0410-0415UTC.mp4,104,141,42,44,1,1,0.86
window_3_sony_0410-0415UTC.mp4,349,377,36,47,1,1,1.0
window_3_sony_0410-0415UTC.mp4,943,979,58,62,1,1,0.31
window_3_sony_0410-0415UTC.mp4,2006,2038,78,79,1,1,0.78
window_3_sony_0410-0415UTC.mp4,2232,2262,40,59,1,1,1.0
window_3_sony_0410-0415UTC.mp4,2768,2801,71,76,1,1,1.0
window_3_sony_0410-0415UTC.mp4,3551,3587,76,79,1,1,1.0
window_3_sony_0410-0415UTC.mp4,4316,4352,40,45,1,1,0.69
