name,start_frame,end_frame,lmin,lmax,gt,tpos,trk_rate
window_3_sony_0400-0405UTC.mp4,773,802,62,63,1,1,0.5
window_3_sony_0400-0405UTC.mp4,1213,1262,52,70,1,1,1.0
window_3_sony_0400-0405UTC.mp4,1414,1451,51,56,1,1,0.79
window_3_sony_0400-0405UTC.mp4,2276,2335,69,73,1,1,0.94
window_3_sony_0400-0405UTC.mp4,2823,2862,50,58,1,1,0.94
window_3_sony_0400-0405UTC.mp4,2850,2900,64,79,1,1,0.93
window_3_sony_0400-0405UTC.mp4,2916,2945,41,51,1,1,0.67
window_3_sony_0400-0405UTC.mp4,3414,3446,43,45,1,1,1.0
window_3_sony_0400-0405UTC.mp4,3845,3874,40,80,1,0,0.0
window_3_sony_0400-0405UTC.mp4,4143,4191,62,67,1,1,0.88
window_3_sony_0400-0405UTC.mp4,4250,4280,40,47,1,1,0.57
window_3_sony_0400-0405UTC.mp4,4435,4472,71,72,1,1,0.79
window_3_sony_0400-0405UTC.mp4,5311,5342,51,60,1,1,0.75
window_3_sony_0400-0405UTC.mp4,6778,6823,45,51,1,1,1.0
window_3_sony_0400-0405UTC.mp4,7187,7219,41,69,1,1,1.0
window_3_sony_0405-0410UTC.mp4,261,290,48,49,1,1,0.67
window_3_sony_0405-0410UTC.mp4,306,349,66,73,1,1,0.95
window_3_sony_0405-0410UTC.mp4,1454,1489,48,54,1,1,0.92
window_3_sony_0405-0410UTC.mp4,2405,2441,41,44,1,1,1.0
window_3_sony_0405-0410UTC.mp4,3046,3076,48,49,1,1,0.71
window_3_sony_0405-0410UTC.mp4,3780,3814,51,53,1,1,1.0
window_3_sony_0405-0410UTC.mp4,4601,4645,40,70,2,1,0.64
window_3_sony_0405-0410UTC.mp4,5568,5600,42,46,1,1,1.0
window_3_sony_0405-0410UTC.mp4,6842,6874,45,53,1,1,1.0
window_3_sony_0405-0410UTC.mp4,6906,6948,41,63,1,1,1.0
window_3_sony_0405-0410UTC.mp4,7069,7120,46,64,1,1,1.0
window_3_sony_0405-0410UTC.mp4,7475,7500,40,68,2,2,1.0
window_3_sony_0410-0415UTC.mp4,0,18,36,47,1,1,1.0
window_3_sony_0410-0415UTC.mp4,104,141,41,42,1,1,0.86
window_3_sony_0410-0415UTC.mp4,349,377,40,80,1,0,0.0
window_3_sony_0410-0415UTC.mp4,943,979,51,66,1,1,0.69
window_3_sony_0410-0415UTC.mp4,2006,2038,77,78,1,1,0.78
window_3_sony_0410-0415UTC.mp4,2232,2262,41,57,1,1,1.0
window_3_sony_0410-0415UTC.mp4,2768,2801,71,77,1,1,1.0
window_3_sony_0410-0415UTC.mp4,3551,3587,75,76,1,1,1.0
window_3_sony_0410-0415UTC.mp4,4316,4352,68,150,1,1,1.0
window_3_sony_0410-0415UTC.mp4,4342,4377,92,127,1,1,0.75
window_3_sony_0410-0415UTC.mp4,4507,4540,45,56,1,1,0.4
window_3_sony_0410-0415UTC.mp4,4636,4663,49,60,1,1,0.75
window_3_sony_0410-0415UTC.mp4,6076,6116,44,50,1,1,0.29
window_3_sony_0410-0415UTC.mp4,6162,6192,41,66,1,1,0.57
window_3_sony_0410-0415UTC.mp4,6585,6624,42,57,1,1,1.0
window_3_sony_0410-0415UTC.mp4,6727,6769,72,75,1,1,0.37
window_3_sony_0410-0415UTC.mp4,7239,7286,178,182,1,1,0.71
window_3_sony_0415-0420UTC.mp4,30,68,53,62,1,1,0.47
window_3_sony_0415-0420UTC.mp4,425,458,45,54,1,1,0.9
window_3_sony_0415-0420UTC.mp4,709,736,40,80,1,0,0.0
window_3_sony_0415-0420UTC.mp4,1054,1086,53,75,1,1,1.0
window_3_sony_0415-0420UTC.mp4,1363,1406,41,53,1,1,0.95
window_3_sony_0415-0420UTC.mp4,1413,1446,53,57,1,1,0.8
window_3_sony_0415-0420UTC.mp4,1890,1922,50,61,1,1,0.78
window_3_sony_0415-0420UTC.mp4,2068,2111,48,48,1,1,0.95
